NCA,UnitsinNCA
Central Lincolnshire Vale, 82 
Humber Estuary, 23 
Humberhead Levels, 72 
Kesteven Uplands, 268 
Lincolnshire Coast and Marshes, 138 
Lincolnshire Wolds, 195 
Northern Lincolnshire Edge with Coversands, 1 
Southern Lincolnshire Edge, 75 
The Fens, 115 
Trent and Belvoir Vales, 199 
